243111,-15.431,-175.725,-1170
243112,-15.333,-176.283,-1500
243120,-15.37,-174.23,-1400
243130,-15.1,-173.75,-1174
243140,-15.379,-174.003,-1270
244000,-14.215,-169.058,-592
244001,-14.23,-169.454,931
244010,-14.175,-169.618,639
244020,-14.295,-170.7,653
244030,-13.935,-171.72,1100
244040,-13.612,-172.525,1858
244050,-13.3,-176.17,143
245010,-16.82,-179.97,1241
245020,-17.32,179.4,522
245030,-19.12,177.98,805
250010,-2.38,147.35,270
250020,-2.57,147.28,254
250030,-3.03,147.78,-1300
251001,-3.507,144.605,402
251002,-3.608,144.588,365
251010,-3.613,144.818,685
251011,-3.994,144.963,240
251020,-4.08,145.037,1807
251030,-4.649,145.964,1839
251041,-4.883,146.717,-5
251050,-5.358,147.12,1280
251060,-5.589,147.875,1548
251070,-5.519,148.115,75
251080,-5.414,148.094,992
252010,-5.525,148.42,1330
252021,-4.63,149.35,179
252030,-4.692,149.5,368
252040,-5.094,150.094,408
252050,-5.141,150.038,1116
252060,-5.3,150.07,565
252070,-5.416,150.027,564
252071,-5.466,150.509,796
252080,-5.576,150.516,724
252090,-5.5,150.942,610
252100,-5.33,151.1,1148
252110,-5.2,151.23,2248
252120,-5.05,151.33,2334
252130,-4.92,151.158,858
252140,-4.271,152.203,688
252150,-4.12,152.2,200
252801,-4.55,149.125,307
253000,-5.9,143.15,3568
253002,-7.05,145.858,3384
253003,-7.33,146.708,1500
253004,-9.2,147.57,850
253010,-8.95,148.15,1680
253011,-9,148.37,1915
253021,-9.08,148.33,1342
253030,-9.2,149.07,1925
253031,-9.48,149.13,370
253040,-9.57,149.075,640
253041,-9.48,150.35,220
253050,-9.52,150.53,200
253060,-9.62,150.88,500
254010,-3.125,152.642,700
254020,-4.08,153.65,450
254801,-3.5,153.22,472
255000,-5.83,154.93,2200
255010,-5.92,154.98,2715
255011,-6.092,155.225,1544
255020,-6.137,155.196,1855
255021,-6.442,155.608,2210
255030,-6.52,155.62,1887
255050,-8.292,156.52,335
255052,-8.75,157.03,-700
255053,-8.83,157.17,0
255060,-9.02,157.95,-20
255061,-8.92,158.03,-240
255062,-9.35,159.73,1000
255070,-9.13,159.82,485
255803,-7.67,156.6,760
256010,-10.38,165.8,851
257001,-13.67,167.67,411
257010,-13.8,167.47,921
257020,-14.27,167.5,797
257021,-14.45,168.05,1028
257030,-15.4,167.83,1496
257040,-16.25,168.12,1334
257050,-16.507,168.346,1413
257060,-16.68,168.37,833
257070,-16.829,168.536,-2
257080,-16.992,168.592,216
257081,-17.47,168.353,594
257090,-18.754,169.238,817
257100,-19.53,169.442,361
257110,-20.2,169.78,852
258001,-20.98,170.28,-80
258010,-22.33,171.32,177
258020,-22.4,172.05,297
259010,-37.77,142.5,1011
260001,13.43,94.28,710
260010,12.278,93.858,354
261020,5.448,95.658,1810
261030,4.914,96.329,2801
261050,4.769,96.821,2617
261070,3.248,98.501,2181
261080,3.17,98.392,2460
261090,2.58,98.83,2157
261110,1.556,99.255,1819
261111,1.478,99.209,1862
261120,0.686,99.539,2145
261121,0.47,99.67,1983
261130,0.079,99.98,2919
261131,0.08,100.2,0
261140,-0.381,100.473,2891
261150,-0.39,100.331,2854
261160,-0.978,100.679,2597
261170,-1.697,101.264,3800
261171,-2.274,101.483,2151
261172,-2.33,101.6,2021
261180,-2.414,101.728,2507
261191,-2.82,102.02,0
261200,-2.82,102.18,1958
261210,-3.38,102.37,2467
261220,-3.52,102.62,1952
261230,-4.03,103.13,3173
261231,-4.27,103.3,2817
261240,-4.22,103.62,2055
261250,-4.43,103.67,1899
261251,-4.83,103.92,1881
261260,-5.107,104.317,1717
261270,-5.25,104.27,1000
261280,-5.334,104.59,849
261290,-5.78,105.625,1281
261800,5.82,95.28,617
261809,4.813,96.82,2885
261810,3.85,97.664,2245
262000,-6.102,105.423,813
263010,-6.342,105.975,1346
263020,-6.27,106.042,1778
263040,-6.75,106.7,1699
263050,-6.72,106.73,2211
263060,-6.77,106.965,3008
263070,-7.16,107.4,2434
263080,-7.213,107.637,2184
263090,-6.77,107.6,2084
263100,-7.32,107.73,2665
263110,-7.245,107.709,2594
263130,-7.143,107.84,2249
263131,-6.77,107.95,1684
263140,-7.25,108.058,2168
263150,-7.208,108.07,2201
263170,-6.892,108.4,3078
263180,-7.242,109.208,3428
263200,-7.2,109.92,2565
263210,-7.3,109.992,3136
263220,-7.384,110.07,3371
263230,-7.18,110.33,2050
263231,-7.37,110.4,1894
263240,-7.45,110.43,3145
263250,-7.542,110.442,2968
263251,-6.62,110.88,1625
263260,-7.625,111.192,3265
263270,-7.808,111.758,2563
263280,-7.93,112.308,1731
263281,-7.92,112.45,2651
263290,-7.725,112.58,3339
263291,-7.62,112.63,1653
263292,-8.02,112.68,680
263300,-8.108,112.92,3676
263310,-7.942,112.95,2329
263320,-7.979,113.342,1651
263321,-7.73,113.58,539
263330,-7.97,113.57,3088
263340,-8.119,114.056,3260
263350,-8.058,114.242,2769
263351,-7.85,114.37,1247
263805,-7.125,107.8,1730
264001,-8.283,115.133,2244
264010,-8.242,115.375,1717
264020,-8.342,115.508,3142
264030,-8.42,116.47,3726
264040,-8.25,118,2850
264050,-8.2,119.07,1949
264060,-8.72,120.02,903
264070,-8.68,120.48,1675
264071,-8.62,120.52,2350
264080,-8.875,120.95,2245
264090,-8.73,120.98,1559
264100,-8.82,121.18,2124
264110,-8.897,121.645,637
264120,-8.792,121.77,1500
264140,-8.77,121.82,1639
264150,-8.32,121.708,875
264160,-8.676,122.455,1661
264170,-8.479,122.761,881
264180,-8.542,122.775,1703
264200,-8.365,122.833,1095
264220,-8.342,123.258,1659
264230,-8.272,123.505,1423
264240,-8.55,123.38,1018
264250,-8.53,123.57,1018
264260,-7.792,123.579,748
264270,-8.508,124.13,862
264800,-8.301,122.907,823
265030,-6.642,126.65,282
